,Unnamed: 0,Star_name,Distance,Mass,Radius,Discovery Year,Constellation
0,0,SDSS J000013.54+255418.6,46.1,981098913.5999999,657465.802884,2004.0,Pegasus
1,1,2MASS 0036,28.6,858461549.4,624260.459304,2000.0,Pisces
2,2,2MASS J02431371−24,35.0,674505503.1,657465.802884,2002.0,Fornax
3,3,Teegarden's,12.578,1635164855.9999998,843415.7269319999,2003.0,Aries
4,4,DEN 0255,16.2,1635164855.9999998,644183.665452,2006.0,Eridanus
5,5,2MASS J03185403-3421292,45.0,1001538474.3,644183.665452,2008.0,Fornax
6,6,2MASS J03264225-2102057,80.0,367912092.6,863338.93308,2003.0,Eridanus
7,7,2MASS J03284265+2302051,98.0,1103736277.8,650824.7341679999,2000.0,Taurus
8,8,Te,380.0,1124175838.5,2510323.974648,1995.0,Taurus
9,9,2MASS J03552337+11,29.8,408791214.0,876621.070512,2006.0,Taurus
10,10,2MASS J04151954−09,18.6,613186821.0,630901.52802,2002.0,Eridanus
11,11,2MASS J04285096-2253227,85.0,1635164855.9999998,723876.490044,2003.0,Eridanus
12,12,2MASS J04390101-2353083,29.5,981098913.5999999,644183.665452,2003.0,Eridanus
13,13,2MASS J04455387-3048204,42.0,1308131884.8,664106.8716000001,2003.0,Caelum
14,14,2MASS J04510093-3402150,69.0,21257143.128,47815694.7552,2003.0,Caelum
15,15,2MASS J05002100+0330501,44.0,1308131884.8,664106.8716000001,2008.0,Orion
16,16,2MASS J05012406-0010452,64.0,429230774.7,916467.482808,2008.0,Orion
17,17,2MASS J05160945-0445499,73.0,960659352.8999999,644183.665452,2003.0,Orion
18,18,LSR 0602+3910,34.6,572307699.6,936390.6889559999,2003.0,Auriga
19,19,2MASS J06244595-4521548,39.0,1144615399.2,657465.802884,2008.0,Puppis
20,20,2MASS J06411840-4322329,65.0,1369450566.8999999,670747.940316,2008.0,Puppis
21,21,DENIS-P J0652197-253450,51.0,1532967052.4999998,697312.21518,2008.0,Canis Major
22,22,UGPS J072227.51-054,13.4,531428578.20000005,650824.7341679999,2010.0,Monoceros
23,23,2MASSI J0727182+171001,29.6,838021988.6999999,624260.459304,2002.0,Gemini
24,24,2MASS J07290002-3954043,25.8,756263745.9,624260.459304,2007.0,Puppis
25,25,SDSS J074201.41+205520.5,49.0,878901110.1000001,624260.459304,2004.0,Gemini
26,26,DENIS-P J0751164-253043,55.0,1451208809.6999998,684030.0777479999,2008.0,Puppis
27,27,DENIS J081730.0-6,16.1,899340670.8,624260.459304,2010.0,Carina
28,28,2MASS J08251968+2115521,35.0,1062857156.3999999,650824.7341679999,2000.0,Cancer
29,29,SDSSp J083008.12+482847.4,43.0,981098913.5999999,657465.802884,2002.0,Lynx
30,30,SDSS J083048.80+012831.1,77.0,940219792.1999999,637542.596736,2004.0,Hydra
